"","country","code","healthexp_usd_percap_2019","mat_mort_2017","health_exp_gdp_2019","infant_mort_2020","healthexp_usd_percap_2019_z","infant_mort_2020_z","mat_mort_2017_z","healthexp_usd_percap_2019_z_transformed","infant_mort_2020_z_transformed","mat_mort_2017_z_transformed","life_exp_2019","life_exp_2019_z","life_exp_2019_z_transformed"
"11","Bahrain","BHR",940.4,14,4.01147509,5.8,-0.116391222322711,-0.773741914637009,-0.640386326198088,-0.0537399785431604,-0.645395892273964,-1.22465411315234,80.019,0.999042955532314,0.601956069112381
"12","Bangladesh","BGD",45.9,173,2.48357606,24.3,-0.582905559259627,0.171926136976189,0.019516441543727,-0.379765598626644,0.0689002402532865,-0.142959277627124,72.806,0.0632497119947034,0.486182401351449
"13","Barbados","BRB",1143.3,27,6.29990387,11.4,-0.0105714806072271,-0.487485639554095,-0.586432011854418,-0.00461557564113034,-0.290293961345302,-0.944744067664888,77.257,0.640709261001484,0.561185998520796
"14","Belarus","BLR",399.4,2,5.86133957,2.2,-0.398542431135312,-0.957763805761739,-0.690190308669169,-0.22079500549441,-1.37431522152978,-2.00834465780106,74.22682927,0.247583890711808,0.511560378467975
"15","Belgium","BEL",4960.4,5,10.65604973,3.4,1.98018522763414,-0.896423175386829,-0.677739313051399,0.474243257646541,-0.984737407414636,-1.65246143778282,81.99512195,1.25541916088603,0.628942344748235
"16","Belize","BLZ",293.4,36,5.96689224,10,-0.45382529275109,-0.559049708324823,-0.549079025001108,-0.262668415431303,-0.355610365788261,-0.821250397777489,73.931,0.209203877942272,0.506397308324148
"17","Benin","BEN",29.1,397,2.38842916,56.5,-0.591667371289298,1.81789971870295,0.949190781003894,-0.388985915441114,0.449925533702762,0.217270898424781,60.454,-1.5392621615914,0.164572279213678
"18","Bhutan","BTN",116,183,3.60761595,23.2,-0.546345855492967,0.115697225799188,0.0610197602696273,-0.343275117128127,0.0475463531990957,-0.118604066403351,71.391,-0.120328194508237,0.459342994291934
"19","Bolivia","BOL",245.9,155,6.9233799,20.7,-0.478598273192122,-0.012095754148541,-0.0551895321628936,-0.282827534844156,-0.00528514803750852,-0.190567920819914,67.841,-0.580894673720566,0.38365477767405
"20","Bosnia and Herzegovina","BIH",553.8,10,9.04909897,4.9,-0.318017206291198,-0.819747387418191,-0.656987653688448,-0.166226582369308,-0.74411843189763,-1.36640686615629,77.241,0.638633468419118,0.560938309870311
"21","Botswana","BWA",481.5,144,6.04836559,36.1,-0.355724290204601,0.775109002329473,-0.100843182761384,-0.190928241928027,0.249225026493492,-0.222459494892688,65.464,-0.889279609238227,0.324430705694177
