country,code,healthexp_pct_gdp_2014,healthexp_pct_gdp_2015,healthexp_pct_gdp_2016,healthexp_pct_gdp_2017,healthexp_pct_gdp_2018,healthexp_pct_gdp_2019,healthexp_pct_gdp_2020,healthexp_pct_gdp_2021,healthexp_pct_gdp_2021 or latest,healthexp_PPP_2015,healthexp_usd_percap_2018,healthexp_usd_percap_2019,infant_mort_2020,mat_mort_2017
Romania,ROU,3.12,3.11,2.98,3.1,3.34,,,,3.34,"1,090",687.2,738.6,4.4,19
Russia,RUS,4.01,3.83,3.76,4.69,4.68,,,,4.68,"1,414",609,653.4,30.3,17
Rwanda,RWA,4.2,3.65,3.44,3.13,3.07,3.24,3.33,3.82,3.82,143,52.3,51.4,31.8,248
Saudi Arabia,SAU,,,8.51,8.02,7.09,6.79,7.81,,7.81,"3,121",1341.5,1316.3,39.9,17
Senegal,SEN,5.72,5.46,5.11,4.62,4.86,5.35,5.5,,5.5,97,61.8,59.1,1.8,315
Serbia,SRB,3.93,3.79,3.63,3.71,3.58,3.62,,,3.58,"1,324",617.1,641,50.3,12
Sierra Leone,SLE,2.66,3.06,3.06,4.66,6.99,7.45,8.81,,8.81,256,44.3,46.2,11.1,1120
Singapore,SGP,2.92,2.86,2.87,2.77,2.86,2.74,2.51,,2.51,"3,681",2667.7,2632.7,16.6,8
Slovakia,SVK,4.23,4.59,3.91,3.94,3.97,,,,3.97,"2,062",1299.9,1342.1,1.8,5
Slovenia,SVN,5.29,4.91,4.79,4.78,4.94,,,,4.94,"2,734",2169.6,2219.1,2.1,7
Solomon Islands,SLB,9.81,10.13,12,12.11,10.81,11.13,12.75,,12.75,173,96.4,111.9,80.1,104
Somalia,SOM,,,,,,,,,,-,,,4.9,829
South Africa,ZAF,5.49,5.48,5.44,5.6,5.64,5.92,6.19,,6.19,"1,086",564.5,546.7,41.7,119
South Sudan,SSD,1.23,1.47,1.54,,,,,,,71,26.7,22.6,50.3,1150
Spain,ESP,4.3,4.29,4.23,4.21,4.18,,,,,"3,183",2740.3,2711.2,1.7,4
Sri Lanka,LKA,1.93,2.23,,,2.14,1.93,,,1.93,353,162.1,160.7,33.9,36
Sudan,SDN,,,,,,,,,,277,59.5,46.9,28.9,295
Suriname,SUR,,5.53,5.64,5.46,4.92,6.83,5.01,,5.01,"1,017",475,619.2,4.7,120
Sweden,SWE,7.57,7.44,7.62,7.57,7.64,,,,7.64,"5,299",6005.1,5671.4,37.4,4
Switzerland,CHE,4.88,4.94,4.93,4.95,4.86,,,,4.86,"7,583",9870.7,9666.3,,5
Syria,SYR,,,,,,,,,,-,,,,31
Taiwan,TWN,,,,,,,,,,-,,,,
Tajikistan,TJK,,4.97,5.76,5.84,5.56,5.71,,,5.71,193,59.8,61.9,36.1,17
Tanzania,TZA,3.38,4.19,4.1,4.43,3.7,3.6,3.23,3.3,3.3,96,42,40.3,31.9,524
